.col-lg-1,.col-xl-1
.col-lg-2,.col-xl-2
.col-lg-3,.col-xl-3
.col-lg-4,.col-xl-4
.col-lg-5,.col-xl-5
.col-lg-6,.col-xl-6
.col-lg-7,.col-xl-7
.col-lg-8,.col-xl-8
.col-lg-9,.col-xl-9
.col-lg-10,.col-xl-10
.col-lg-11,.col-xl-11
.col-lg-12,.col-xl-12
.col-md-1,.col-lg-1
.col-md-2,.col-lg-2
.col-md-3,.col-lg-3
.col-md-4,.col-lg-4
.col-md-5,.col-lg-5
.col-md-6,.col-lg-6
.col-md-7,.col-lg-7
.col-md-8,.col-lg-8
.col-md-9,.col-lg-9
.col-md-10,.col-lg-10
.col-md-11,.col-lg-11
.col-md-12,.col-lg-12
.col-xs-1,.col-1
.col-xs-2,.col-2
.col-xs-3,.col-3
.col-xs-4,.col-4
.col-xs-5,.col-5
.col-xs-6,.col-6
.col-xs-7,.col-7
.col-xs-8,.col-8
.col-xs-9,.col-9
.col-xs-10,.col-10
.col-xs-11,.col-11
.col-xs-12,.col-12
.col-xs-offset-1,.offset-xs-1
.col-md-offset-1,.offset-md-1
.col-lg-offset-1,.offset-lg-1
.col-xl-offset-1,.offset-xl-1
.col-xs-offset-2,.offset-xs-2
.col-md-offset-2,.offset-md-2
.col-lg-offset-2,.offset-lg-2
.col-xl-offset-2,.offset-xl-2
.col-xs-offset-3,.offset-xs-3
.col-md-offset-3,.offset-md-3
.col-lg-offset-3,.offset-lg-3
.col-xl-offset-3,.offset-xl-3
.col-xs-offset-4,.offset-xs-4
.col-md-offset-4,.offset-md-4
.col-lg-offset-4,.offset-lg-4
.col-xl-offset-4,.offset-xl-4
.col-xs-offset-5,.offset-xs-5
.col-md-offset-5,.offset-md-5
.col-lg-offset-5,.offset-lg-5
.col-xl-offset-5,.offset-xl-5
.col-xs-offset-6,.offset-xs-6
.col-md-offset-6,.offset-md-6
.col-lg-offset-6,.offset-lg-6
.col-xl-offset-6,.offset-xl-6
.col-xs-offset-7,.offset-xs-7
.col-md-offset-7,.offset-md-7
.col-lg-offset-7,.offset-lg-7
.col-xl-offset-7,.offset-xl-7
.col-xs-offset-8,.offset-xs-8
.col-md-offset-8,.offset-md-8
.col-lg-offset-8,.offset-lg-8
.col-xl-offset-8,.offset-xl-8
.col-xs-offset-9,.offset-xs-9
.col-md-offset-9,.offset-md-9
.col-lg-offset-9,.offset-lg-9
.col-xl-offset-9,.offset-xl-9
.col-xs-offset-10,.offset-xs-10
.col-md-offset-10,.offset-md-10
.col-lg-offset-10,.offset-lg-10
.col-xl-offset-10,.offset-xl-10
.col-xs-offset-11,.offset-xs-11
.col-md-offset-11,.offset-md-11
.col-lg-offset-11,.offset-lg-11
.col-xl-offset-11,.offset-xl-11
.col-xs-offset-12,.offset-xs-12
.col-md-offset-12,.offset-md-12
.col-lg-offset-12,.offset-lg-12
.col-xl-offset-12,.offset-xl-12
.panel,.card
.panel-heading,.card-header
.panel-title,.card-title
.panel-body,.card-body
.panel-footer,.card-footer
.panel-primary,.card.bg-primary.text-white
.panel-default,.card.bg-default
.panel-success,.card.bg-success.text-white
.panel-info,.card.bg-info.text-white
.panel-warning,.card.bg-warning
.panel-danger,.card.bg-danger.text-white
.progress-bar-primary,.bg-primary
.progress-bar-secondary,.bg-secondary
.progress-bar-success,.bg-success
.progress-bar-info,.bg-info
.progress-bar-warning,.bg-warning
.progress-bar-danger,.bg-danger
.well,.card.card-body
.thumbnail,.card.card-body
#.list-inline > li,.list-inline-item
#.dropdown-menu > li,.dropdown-item
#.nav navbar > li,.nav-item
#.nav navbar > li > a,.nav-link
.navbar-right,.ml-auto
.navbar-btn,.nav-item
.navbar-fixed-top,.fixed-top
.nav-stacked,.flex-column
.btn-default,.btn-secondary
.btn-xs,.btn-sm
.img-responsive,.img-fluid
.img-circle,.rounded-circle
.img-rounded,.rounded
.radio,.form-check
.checkbox,.form-check
.divider,.dropdown-divider
.input-lg,.form-control-lg
.input-sm,.form-control-sm
.control-label,.col-form-label
.col-form-legend,.col-form-label
.form-control-label,.col-form-label
.form-control-static,.form-control-plaintext
.table-condensed,.table-sm
#.pagination > li,.page-item
#.pagination > li > a,.page-link
.item,.carousel-item
.text-help,.form-control-feedback
.pull-right,.float-right
.pull-left,.float-left
.center-block,.mx-auto
.hidden-xs,.d-none
.hidden-sm,.d-sm-none
.hidden-md,.d-md-none
.visible-xs,.d-block.d-sm-none
.visible-sm,.d-block.d-md-none
.visible-md,.d-block.d-lg-none
.visible-lg,.d-block.d-xl-none
#.badge,.badge.badge-pill
.label-primary,.badge-primary
.label-default,.badge-secondary
.label-success,.badge-success
.label-info,.badge-info
.label-warning,.badge-warning
.label-danger,.badge-danger
.label,.badge
.help-block,.form-text
#.form-horizontal,
#.radio-inline,
#.checkbox-inline,
#input-group-addon,
#input-group-btn,

